Name,Rating,Link,Address,Timing,,
 Vishal Mega Mart ,1,140 Ratings,https://www.justdial.com/Delhi/Vishal-Mega-Mart-Near-South-Side-Sector-13-Lal-Kuan-Ghaziabad/011PXX11-XX11-000298735702-C5W4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,G T Road Lal Kuan Ghaziabad,None,7947222595
 Shree Channaveereshwar Super Bazar ,2 Ratings,https://www.justdial.com/Gulbarga/Shree-Channaveereshwar-Super-Bazar-Neharu-Gunj-Nehrugunj-Gulbarga/9999P8472-8472-210129115026-X6K4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Bumboo Bazar Nehrugunj Gulbarga,None,8045784217,
 Swabhiman Swadeshi Kendra ,304 Ratings,https://www.justdial.com/Gulbarga/Swabhiman-Swadeshi-Kendra-Godatayi-Colony-Gulbarga-Railway-Station/9999P8472-8472-170413153448-I7H7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Road Gulbarga Railway Station,9:00 AM,7947343559,
 DIMPA STORE ,112 Ratings,https://www.justdial.com/Guwahati/DIMPA-STORE-Near-G-M-C-Office-Uzan-Bazar/9999PX361-X361-180820104322-C3B9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,B. C. Road Uzan Bazar,8:30 AM,7947373036,
 Goyal Trading Company ,19 Ratings,https://www.justdial.com/Gwalior/Goyal-Trading-Company-Near-Canara-Bank-Lashkar/9999PX751-X751-130527062655-D7I8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Dal Bazar Tiraha Lashkar,10:00 AM,7947388199,
 Advance Card ,2 Ratings,https://www.justdial.com/Hapur/Advance-Card-Near-Indian-Oil-Petrol-Pump/9999PX122-X122-210928163209-X2V3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Garg Road,None,7947283052,
 Mahaveer Emporium ,202 Ratings,https://www.justdial.com/Hyderabad/Mahaveer-Emporium-Opposite-Raymond-Show-Room-Nagendra-Nagar-Habsiguda/040PF009933_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,to Uppal Main Road Habsiguda,10:30 AM,8045788859,
 Maayara Patanjali ,3 Ratings,https://www.justdial.com/Indore/Maayara-Patanjali-The-Emerald-Heights-International-School-Rau/0731PX731-X731-210828135339-M4J2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Aaradhya Dham Mandir Road Rau,8:00 AM,7947293606,
 BLS SMART SUPER STORE(Biharilal Sahu Kirana) ,34 Ratings,https://www.justdial.com/Jabalpur/BLS-SMART-SUPER-STOREBiharilal-Sahu-Kirana-Near-Lordganj-Thana-Machharhai-Road-Lordganj/9999PX761-X761-110728110318-N1H2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Main Road Lordganj,11:00 AM,7947478461,
 Kamal Kirana Stores ,3 Ratings,https://www.justdial.com/Jabalpur/Kamal-Kirana-Stores-Behind-Union-Bank-Garha/9999PX761-X761-190613142449-E3I5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Dhanvanthri Nagar Garha,None,7947270505,
 All-Mart ,32 Ratings,https://www.justdial.com/Jabalpur/All-Mart-Opposite-Ashish-Hospital-Madan-Mahal/9999PX761-X761-210817164923-S3L5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,madan Mahal Madan Mahal,9:30 AM,7942763810,
 Aadhar Super Market ,7 Ratings,https://www.justdial.com/Jaipur/Aadhar-Super-Market-Nearby-Hero-Honda-Company/0141PX141-X141-201017111601-Q6G4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Narayan Vihar,9:00 AM,7947444616,
 Daga Flour Mill ,5 Ratings,https://www.justdial.com/Jaipur/Daga-Flour-Mill-Jamuna-Dairy-Ambey-Market-Jaipur/0141PX141-X141-220704174643-N7K4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Sodala Jaipur,None,7947394562,
 kyubok super market ,3 Ratings,https://www.justdial.com/Jaipur/Kyubok-super-market-GolyawasSanganer-Goliyawas/0141PX141-X141-220519190215-M2B8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Goliyawas,9:30 AM,7947220711,
 Imliwala Pansari ,159 Ratings,https://www.justdial.com/Jaipur/Imliwala-Pansari-Johri-Bazar/0141PX141-X141-101118170253-F7T4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Johri Bazar,None,7947445260,
 Swastik ,281 Ratings,https://www.justdial.com/Jaipur/Swastik-Opposite-Bharat-Apartment-Vaishali-Nagar/0141PX141-X141-180226113309-N2U4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Gandhi Path Vaishali Nagar,9:30 AM,7947065553,
 Kiranaworld.in ,308 Ratings,https://www.justdial.com/Jamshedpur/Kiranaworldin-Behind-New-Court-Jamshedpur-City/0657PX657-X657-200731033512-S9C2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Nirmal Nagar Jamshedpur City,None,7947286004,
 Dream Point Supermarket ,1 Ratings,https://www.justdial.com/Jhansi/Dream-Point-Supermarket-Infront-Of-Indian-Oil-Petrol-Pump-Shivpuri-Road/9999PX510-X510-221207202122-V1F1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Main Road Shivpuri Shivpuri Road,10:00 AM,7942809529,
 Sagar Store ,3 Ratings,https://www.justdial.com/Jhansi/Sagar-Store-Near-Sweet-Shop-Shivaji-Nagar/9999PX510-X510-171122163120-Q3D2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Main Road Shivaji Nagar,1 Year in Business,7947454064,
 Monday 2 Sunday ,13 Ratings,https://www.justdial.com/Jhansi/Monday-2-Sunday-Burger-Point-Medical-College-Road/9999PX510-X510-181204155702-I9R6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,University Medical College Road,7:00 AM,7947380967,
 PATANJALI MEGA STORE ,434 Ratings,https://www.justdial.com/Jhansi/PATANJALI-MEGA-STORE-Near-Kunj-Bihari-Mandir-Civil-Lines/9999PX510-X510-170606140952-M4B5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Gwalior Road Civil Lines,None,7947380896,
 Fresh N Green ,4,187 Ratings,https://www.justdial.com/Jodhpur/Fresh-N-Green-Near-Children-Park-Sardarpura/0291PX291-X291-120204143536-F9P2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,B Road Sardarpura,8:30 AM,8045796360
 Hikobox ,243 Ratings,https://www.justdial.com/Kakinada/Hikobox-Gaigolupadu/9999PX884-X884-201014163136-H7N1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Rajendra Nagar Gaigolupadu,9:00 AM,8045794807,
 Narayana Stores ,3 Ratings,https://www.justdial.com/Kakinada/Narayana-Stores-Near-SV-Ranga-Rao-Statue-Nagamallithota-Junction/9999PX884-X884-200727124402-W9U6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Street Nagamallithota Junction,None,7947400050,
 Saqualain Real Imitations ,8 Ratings,https://www.justdial.com/Karimnagar/Saqualain-Real-Imitations-Rajiv-Chowk/9999P8722-8722-110331192238-N6E7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Rajiv Chowk,11:00 AM,7947357506,
 Karunamayi Ventures ,12 Ratings,https://www.justdial.com/Karnal/Karunamayi-Ventures-Near-Devi-Lal-Chowk-Karnal-City/9999PX184-X184-220210124413-G9W4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Meerut Road Karnal City,10:00 AM,7942597564,
 Kapil Provision Store ,1 Ratings,https://www.justdial.com/Karnal/Kapil-Provision-Store-Near-Gole-Market/9999PX184-X184-201231130428-K5Q4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Shop No.58,1 Year in Business,7947392795,
 Ganesh Deaprtment Stores ,9 Ratings,https://www.justdial.com/Karur/Ganesh-Deaprtment-Stores-Near-Roundana-Velayuthampalayam/9999P4324-4324-211020180530-I4H6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Main Road Velayuthampalayam,6:00 AM,7947299575,
 Laxmi Venkateswara Super Market ,3 Ratings,https://www.justdial.com/Khammam/Laxmi-Venkateswara-Super-Market-Opposite-Honda-Showroom/9999P8742-8742-181219124245-Q4G5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Wyra Road,8:00 AM,7947352293,
 Appsson India ,136 Ratings,https://www.justdial.com/Ernakulam/Appsson-India-Kochi/0484PX484-X484-200123225508-I6P3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Beena Anchumana Road Kochi,9:30 AM,7947359703,
 Lucky Stores ,189 Ratings,https://www.justdial.com/Kolhapur/Lucky-Stores-Near-Padma-Talkies-Laxmipuri/0231PX231-X231-140626222800-E4Q3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Shivaji Road Laxmipuri,9:30 am tomorrow,7947249939,
 Mega Bachat Bazar ,3 Ratings,https://www.justdial.com/Kolhapur/Mega-Bachat-Bazar-Near-Bus-Stand-Duginwadi-Mungurwadi/0231PX231-X231-210721144902-F1D1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Plot No -233 Kohlapur Mungurwadi,None,7947206374,
 Anna Provision ,15 Ratings,https://www.justdial.com/Kolhapur/Anna-Provision-Near-Tarabai-Garden-Commissioner-Bunglow-New-Shahupuri/0231PX231-X231-130524151911-T4I7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Regency Hotel New Shahupuri,10:00 AM,7947249328,
 Bharath Hypermarket ,397 Ratings,https://www.justdial.com/Kollam/Bharath-Hypermarket-Thevalakkara/9999PX474-X474-180117145413-B5E6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Chenankara Junction Thevalakkara,10:00 AM,7947335098,
 Grandeur Multi Cuisine Restaurant Bakes & Supermarket ,984 Ratings,https://www.justdial.com/Kollam/Grandeur-Multi-Cuisine-Restaurant-Bakes-Supermarket-Near-Lekshmi-Restaurant-Bar-Parippally/9999PX474-X474-200822224205-N6S4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Kollam Road Parippally,None,7947378011,
 Varnam Super Market ,6 Ratings,https://www.justdial.com/Kumbakonam/Varnam-Super-Market-Opposite-to-Dubai-Restaurant-Chettimandapam/9999PX435-X435-161014172400-A7W8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,New Bypass Road Chettimandapam,8:30 AM,7942768456,
 AL - Mina Traders ,21 Ratings,https://www.justdial.com/Kurnool/AL-Mina-Traders-Near-Ammavarisala-Old-Town/9999P8518-8518-210202114412-I5I9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Poola Bazar Old Town,9:30 AM,8045791330,
 Sahayadri Kirana and General Store ,11 Ratings,https://www.justdial.com/Latur/Sahayadri-Kirana-and-General-Store-Opposite-Cocsit-College-Latur-Ho/9999P2382-2382-171016175047-R5D1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Ambejogai Road Latur Ho,7:30 AM,7947318921,
 Mahalakshmi Super Market ,3 Ratings,https://www.justdial.com/Latur/Mahalakshmi-Super-Market-Near-Reddy-Petrol-Pump-Ahmedpur-Latur/9999P2382-2382-220103143735-L6G8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,College Road Ahmedpur Latur,None,7947171453,
